"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","343","Validar contrato da resposta de consulta de produto por id","","2026-08-31","passed","2026-08-31","","Produtos - GET /produtos/{_id}","services.produtos.tests.GetProdutosByIdTest","validarSchemaGetProdutosPorId"
"","651","Validar cancelamento de compra com sucesso retornando mensagem de confirmação","","2026-08-31","passed","2026-08-31","","Carrinhos - DELETE /carrinhos/cancelar-compra","services.carrinhos.tests.DeleteCarrinhosCancelarCompraTest","validarDeleteCarrinhosCancelarCompraComSucesso"
"","686","Validar contrato da resposta de conclusão de compra","","2026-08-31","passed","2026-08-31","","Carrinhos - DELETE /carrinhos/concluir-compra","services.carrinhos.tests.DeleteCarrinhosConcluirCompraTest","validarSchemaDeleteCarrinhosConcluirCompra"
"","226","Validar contrato da resposta de exclusão de usuário","","2026-08-31","passed","2026-08-31","","Usuarios - DELETE /usuarios/{_id}","services.usuarios.tests.DeleteUsuariosByIdTest","validarSchemaDeleteUsuariosPorId"
"","584","Validar contrato da resposta de cadastro de carrinho","","2026-08-31","passed","2026-08-31","","Carrinhos - POST /carrinhos","services.carrinhos.tests.PostCarrinhosTest","validarSchemaPostCarrinhos"
"","682","Verificar consulta de carrinho por id retornando o mesmo id solicitado","","2026-08-31","passed","2026-08-31","","Carrinhos - GET /carrinhos/{_id}","services.carrinhos.tests.GetCarrinhosByIdTest","validarGetCarrinhosPorIdComSucesso"
"","444","Validar contrato da resposta de exclusão de produto","","2026-08-31","passed","2026-08-31","","Produtos - DELETE /produtos/{_id}","services.produtos.tests.DeleteProdutosByIdTest","validarSchemaDeleteProdutosPorId"
"","107","Validar contrato da resposta de listagem de carrinhos","","2026-08-31","passed","2026-08-31","","Carrinhos - GET /carrinhos","services.carrinhos.tests.GetCarrinhosTest","validarSchemaGetCarrinhos"
"","221","Validar cadastro de produto com sucesso retornando mensagem e id","","2026-08-31","passed","2026-08-31","","Produtos - POST /produtos","services.produtos.tests.PostProdutosTest","validarPostProdutosComSucesso"
"","125","Validar contrato da resposta de cadastro de usuário","","2026-08-31","passed","2026-08-31","","Usuarios - POST /usuarios","services.usuarios.tests.PostUsuariosTest","validarSchemaPostUsuarios"
