"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","222","Validar exclusão de usuário com sucesso retornando mensagem de confirmação","","2026-07-24","passed","2026-07-24","","Usuarios - DELETE /usuarios/{_id}","services.usuarios.tests.DeleteUsuariosByIdTest","validarDeleteUsuariosPorIdComSucesso"
"","583","Validar contrato da resposta de cadastro de carrinho","","2026-07-24","passed","2026-07-24","","Carrinhos - POST /carrinhos","services.carrinhos.tests.PostCarrinhosTest","validarSchemaPostCarrinhos"
"","2817","Validar contrato da resposta de login com sucesso","","2026-07-24","passed","2026-07-24","","Login - POST /login","services.login.tests.PostLoginTest","validarSchemaPostLogin"
"","154","Validar contrato da resposta de listagem de produtos","","2026-07-24","passed","2026-07-24","","Produtos - GET /produtos","services.produtos.tests.GetProdutosTest","validarSchemaGetProdutos"
"","222","Verificar listagem de usuários retornando lista não nula","","2026-07-24","passed","2026-07-24","","Usuarios - GET /usuarios","services.usuarios.tests.GetUsuariosTest","validarGetUsuariosComSucesso"
"","656","Validar contrato da resposta de conclusão de compra","","2026-07-24","passed","2026-07-24","","Carrinhos - DELETE /carrinhos/concluir-compra","services.carrinhos.tests.DeleteCarrinhosConcluirCompraTest","validarSchemaDeleteCarrinhosConcluirCompra"
"","116","Validar contrato da resposta de listagem de carrinhos","","2026-07-24","passed","2026-07-24","","Carrinhos - GET /carrinhos","services.carrinhos.tests.GetCarrinhosTest","validarSchemaGetCarrinhos"
"","475","Validar alteração de produto com sucesso retornando mensagem de confirmação","","2026-07-24","passed","2026-07-24","","Produtos - PUT /produtos/{_id}","services.produtos.tests.PutProdutosByIdTest","validarPutProdutosPorIdComSucesso"
"","241","Validar contrato da resposta de cadastro de produto","","2026-07-24","passed","2026-07-24","","Produtos - POST /produtos","services.produtos.tests.PostProdutosTest","validarSchemaPostProdutos"
"","217","Validar contrato da resposta de exclusão de usuário","","2026-07-24","passed","2026-07-24","","Usuarios - DELETE /usuarios/{_id}","services.usuarios.tests.DeleteUsuariosByIdTest","validarSchemaDeleteUsuariosPorId"
"","207","Validar contrato da resposta de consulta de usuário por id","","2026-07-24","passed","2026-07-24","","Usuarios - GET /usuarios/{_id}","services.usuarios.tests.GetUsuariosByIdTest","validarSchemaGetUsuariosPorId"
"","676","Validar contrato da resposta de exclusão de produto","","2026-07-24","passed","2026-07-24","","Produtos - DELETE /produtos/{_id}","services.produtos.tests.DeleteProdutosByIdTest","validarSchemaDeleteProdutosPorId"
