"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","124","Validar cadastro de usuário com sucesso retornando mensagem e id","","2026-07-24","passed","2026-07-24","","Usuarios - POST /usuarios","services.usuarios.tests.PostUsuariosTest","validarPostUsuariosComSucesso"
"","311","Validar contrato da resposta de consulta de produto por id","","2026-07-24","passed","2026-07-24","","Produtos - GET /produtos/{_id}","services.produtos.tests.GetProdutosByIdTest","validarSchemaGetProdutosPorId"
"","105","Verificar listagem de carrinhos retornando lista não nula","","2026-07-24","passed","2026-07-24","","Carrinhos - GET /carrinhos","services.carrinhos.tests.GetCarrinhosTest","validarGetCarrinhosComSucesso"
"","249","Validar contrato da resposta de cadastro de produto","","2026-07-24","passed","2026-07-24","","Produtos - POST /produtos","services.produtos.tests.PostProdutosTest","validarSchemaPostProdutos"
"","115","Verificar listagem de produtos retornando lista não nula","","2026-07-24","passed","2026-07-24","","Produtos - GET /produtos","services.produtos.tests.GetProdutosTest","validarGetProdutosComSucesso"
"","565","Validar conclusão de compra com sucesso retornando mensagem de confirmação","","2026-07-24","passed","2026-07-24","","Carrinhos - DELETE /carrinhos/concluir-compra","services.carrinhos.tests.DeleteCarrinhosConcluirCompraTest","validarDeleteCarrinhosConcluirCompraComSucesso"
"","558","Validar cancelamento de compra com sucesso retornando mensagem de confirmação","","2026-07-24","passed","2026-07-24","","Carrinhos - DELETE /carrinhos/cancelar-compra","services.carrinhos.tests.DeleteCarrinhosCancelarCompraTest","validarDeleteCarrinhosCancelarCompraComSucesso"
"","526","Validar contrato da resposta de consulta de carrinho por id","","2026-07-24","passed","2026-07-24","","Carrinhos - GET /carrinhos/{_id}","services.carrinhos.tests.GetCarrinhosByIdTest","validarSchemaGetCarrinhosPorId"
"","77","Validar contrato da resposta de listagem de carrinhos","","2026-07-24","passed","2026-07-24","","Carrinhos - GET /carrinhos","services.carrinhos.tests.GetCarrinhosTest","validarSchemaGetCarrinhos"
"","548","Validar contrato da resposta de cancelamento de compra","","2026-07-24","passed","2026-07-24","","Carrinhos - DELETE /carrinhos/cancelar-compra","services.carrinhos.tests.DeleteCarrinhosCancelarCompraTest","validarSchemaDeleteCarrinhosCancelarCompra"
