"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","186","Validar contrato da resposta de consulta de usuário por id","","Sat Apr 25 16:53:46 UTC 2026","passed","Sat Apr 25 16:53:46 UTC 2026","","Usuarios - GET /usuarios/{_id}","services.usuarios.tests.GetUsuariosByIdTest","validarSchemaGetUsuariosPorId"
"","144","Verificar consulta de usuário por id retornando o mesmo id solicitado","","Sat Apr 25 16:53:46 UTC 2026","passed","Sat Apr 25 16:53:46 UTC 2026","","Usuarios - GET /usuarios/{_id}","services.usuarios.tests.GetUsuariosByIdTest","validarGetUsuariosPorIdComSucesso"
"","159","Validar exclusão de usuário com sucesso retornando mensagem de confirmação","","Sat Apr 25 16:53:47 UTC 2026","passed","Sat Apr 25 16:53:47 UTC 2026","","Usuarios - DELETE /usuarios/{_id}","services.usuarios.tests.DeleteUsuariosByIdTest","validarDeleteUsuariosPorIdComSucesso"
"","485","Validar contrato da resposta de consulta de carrinho por id","","Sat Apr 25 16:53:42 UTC 2026","passed","Sat Apr 25 16:53:43 UTC 2026","","Carrinhos - GET /carrinhos/{_id}","services.carrinhos.tests.GetCarrinhosByIdTest","validarSchemaGetCarrinhosPorId"
"","344","Validar contrato da resposta de cadastro de carrinho","","Sat Apr 25 16:53:45 UTC 2026","passed","Sat Apr 25 16:53:45 UTC 2026","","Carrinhos - POST /carrinhos","services.carrinhos.tests.PostCarrinhosTest","validarSchemaPostCarrinhos"
"","509","Validar contrato da resposta de cancelamento de compra","","Sat Apr 25 16:53:43 UTC 2026","passed","Sat Apr 25 16:53:43 UTC 2026","","Carrinhos - DELETE /carrinhos/cancelar-compra","services.carrinhos.tests.DeleteCarrinhosCancelarCompraTest","validarSchemaDeleteCarrinhosCancelarCompra"
"","99","Validar contrato da resposta de cadastro de usuário","","Sat Apr 25 16:53:46 UTC 2026","passed","Sat Apr 25 16:53:46 UTC 2026","","Usuarios - POST /usuarios","services.usuarios.tests.PostUsuariosTest","validarSchemaPostUsuarios"
"","71","Validar login com sucesso retornando mensagem e token de autorização","","Sat Apr 25 16:53:46 UTC 2026","passed","Sat Apr 25 16:53:46 UTC 2026","","Login - POST /login","services.login.tests.PostLoginTest","validarPostLoginComSucesso"
"","412","Validar cadastro de carrinho com sucesso retornando mensagem e id","","Sat Apr 25 16:53:45 UTC 2026","passed","Sat Apr 25 16:53:45 UTC 2026","","Carrinhos - POST /carrinhos","services.carrinhos.tests.PostCarrinhosTest","validarPostCarrinhosComSucesso"
"","342","Validar alteração de produto com sucesso retornando mensagem de confirmação","","Sat Apr 25 16:53:41 UTC 2026","passed","Sat Apr 25 16:53:41 UTC 2026","","Produtos - PUT /produtos/{_id}","services.produtos.tests.PutProdutosByIdTest","validarPutProdutosPorIdComSucesso"
"","106","Verificar listagem de produtos retornando lista não nula","","Sat Apr 25 16:53:40 UTC 2026","passed","Sat Apr 25 16:53:40 UTC 2026","","Produtos - GET /produtos","services.produtos.tests.GetProdutosTest","validarGetProdutosComSucesso"
"","161","Validar contrato da resposta de alteração de usuário","","Sat Apr 25 16:53:47 UTC 2026","passed","Sat Apr 25 16:53:47 UTC 2026","","Usuarios - PUT /usuarios/{_id}","services.usuarios.tests.PutUsuariosByIdTest","validarSchemaPutUsuariosPorId"
"","410","Validar contrato da resposta de exclusão de produto","","Sat Apr 25 16:53:39 UTC 2026","passed","Sat Apr 25 16:53:40 UTC 2026","","Produtos - DELETE /produtos/{_id}","services.produtos.tests.DeleteProdutosByIdTest","validarSchemaDeleteProdutosPorId"
"","123","Validar contrato da resposta de exclusão de usuário","","Sat Apr 25 16:53:47 UTC 2026","passed","Sat Apr 25 16:53:47 UTC 2026","","Usuarios - DELETE /usuarios/{_id}","services.usuarios.tests.DeleteUsuariosByIdTest","validarSchemaDeleteUsuariosPorId"
"","824","Validar contrato da resposta de consulta de produto por id","","Sat Apr 25 16:53:39 UTC 2026","passed","Sat Apr 25 16:53:39 UTC 2026","","Produtos - GET /produtos/{_id}","services.produtos.tests.GetProdutosByIdTest","validarSchemaGetProdutosPorId"
"","81","Validar contrato da resposta de login com sucesso","","Sat Apr 25 16:53:45 UTC 2026","passed","Sat Apr 25 16:53:46 UTC 2026","","Login - POST /login","services.login.tests.PostLoginTest","validarSchemaPostLogin"
"","433","Validar cancelamento de compra com sucesso retornando mensagem de confirmação","","Sat Apr 25 16:53:43 UTC 2026","passed","Sat Apr 25 16:53:44 UTC 2026","","Carrinhos - DELETE /carrinhos/cancelar-compra","services.carrinhos.tests.DeleteCarrinhosCancelarCompraTest","validarDeleteCarrinhosCancelarCompraComSucesso"
"","150","Validar contrato da resposta de cadastro de produto","","Sat Apr 25 16:53:41 UTC 2026","passed","Sat Apr 25 16:53:41 UTC 2026","","Produtos - POST /produtos","services.produtos.tests.PostProdutosTest","validarSchemaPostProdutos"
