"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","210","Validar contrato da resposta de listagem de carrinhos","","2026-08-19","passed","2026-08-19","","Carrinhos - GET /carrinhos","services.carrinhos.tests.GetCarrinhosTest","validarSchemaGetCarrinhos"
"","333","Validar contrato da resposta de alteração de usuário","","2026-08-19","passed","2026-08-19","","Usuarios - PUT /usuarios/{_id}","services.usuarios.tests.PutUsuariosByIdTest","validarSchemaPutUsuariosPorId"
"","366","Validar exclusão de usuário com sucesso retornando mensagem de confirmação","","2026-08-19","passed","2026-08-19","","Usuarios - DELETE /usuarios/{_id}","services.usuarios.tests.DeleteUsuariosByIdTest","validarDeleteUsuariosPorIdComSucesso"
"","801","Validar contrato da resposta de cadastro de carrinho","","2026-08-19","passed","2026-08-19","","Carrinhos - POST /carrinhos","services.carrinhos.tests.PostCarrinhosTest","validarSchemaPostCarrinhos"
"","171","Validar contrato da resposta de cadastro de usuário","","2026-08-19","passed","2026-08-19","","Usuarios - POST /usuarios","services.usuarios.tests.PostUsuariosTest","validarSchemaPostUsuarios"
"","590","Validar exclusão de produto com sucesso retornando mensagem de confirmação","","2026-08-19","passed","2026-08-19","","Produtos - DELETE /produtos/{_id}","services.produtos.tests.DeleteProdutosByIdTest","validarDeleteProdutosPorIdComSucesso"
"","2962","Validar contrato da resposta de listagem de usuários","","2026-08-19","passed","2026-08-19","","Usuarios - GET /usuarios","services.usuarios.tests.GetUsuariosTest","validarSchemaGetUsuarios"
"","468","Verificar consulta de produto por id retornando o mesmo id solicitado","","2026-08-19","passed","2026-08-19","","Produtos - GET /produtos/{_id}","services.produtos.tests.GetProdutosByIdTest","validarGetProdutosPorIdComSucesso"
"","698","Verificar listagem de usuários retornando lista não nula","","2026-08-19","passed","2026-08-19","","Usuarios - GET /usuarios","services.usuarios.tests.GetUsuariosTest","validarGetUsuariosComSucesso"
"","173","Validar cadastro de usuário com sucesso retornando mensagem e id","","2026-08-19","passed","2026-08-19","","Usuarios - POST /usuarios","services.usuarios.tests.PostUsuariosTest","validarPostUsuariosComSucesso"
"","168","Verificar listagem de carrinhos retornando lista não nula","","2026-08-19","passed","2026-08-19","","Carrinhos - GET /carrinhos","services.carrinhos.tests.GetCarrinhosTest","validarGetCarrinhosComSucesso"
"","877","Validar contrato da resposta de cancelamento de compra","","2026-08-19","passed","2026-08-19","","Carrinhos - DELETE /carrinhos/cancelar-compra","services.carrinhos.tests.DeleteCarrinhosCancelarCompraTest","validarSchemaDeleteCarrinhosCancelarCompra"
"","858","Validar cadastro de carrinho com sucesso retornando mensagem e id","","2026-08-19","passed","2026-08-19","","Carrinhos - POST /carrinhos","services.carrinhos.tests.PostCarrinhosTest","validarPostCarrinhosComSucesso"
"","358","Validar contrato da resposta de exclusão de usuário","","2026-08-19","passed","2026-08-19","","Usuarios - DELETE /usuarios/{_id}","services.usuarios.tests.DeleteUsuariosByIdTest","validarSchemaDeleteUsuariosPorId"
"","952","Verificar consulta de carrinho por id retornando o mesmo id solicitado","","2026-08-19","passed","2026-08-19","","Carrinhos - GET /carrinhos/{_id}","services.carrinhos.tests.GetCarrinhosByIdTest","validarGetCarrinhosPorIdComSucesso"
"","530","Verificar consulta de usuário por id retornando o mesmo id solicitado","","2026-08-19","passed","2026-08-19","","Usuarios - GET /usuarios/{_id}","services.usuarios.tests.GetUsuariosByIdTest","validarGetUsuariosPorIdComSucesso"
